Date,Description,Transaction_Type,Amount,Balance,Category
2026-01-01,Hotel Booking,Debit,1012,48988,Travel
2026-01-02,Salary Credit,Credit,24799,73787,Income
2026-01-03,UPI Transfer,Debit,2106,71681,Transfer
2026-01-04,Grocery Store,Debit,1243,70438,Groceries
2026-01-05,Swiggy Order,Debit,4567,65871,Food
2026-01-06,Amazon Purchase,Debit,4937,60934,Shopping
2026-01-07,ATM Withdrawal,Debit,360,60574,Cash
2026-01-08,Salary Credit,Credit,3570,64144,Income
2026-01-09,Netflix Subscription,Debit,2005,62139,Entertainment
2026-01-10,Medical Store,Debit,317,61822,Healthcare
2026-01-11,Insurance Premium,Debit,1728,60094,Insurance
2026-01-12,Hotel Booking,Debit,4564,55530,Travel
2026-01-13,ATM Withdrawal,Debit,1905,53625,Cash
2026-01-14,Uber Ride,Debit,4927,48698,Transport
2026-01-15,UPI Transfer,Debit,153,48545,Transfer
2026-01-16,Petrol Pump,Debit,3562,44983,Transport
2026-01-17,Mobile Recharge,Debit,2376,42607,Utilities
2026-01-18,Electricity Bill,Debit,1863,40744,Utilities
2026-01-19,Mobile Recharge,Debit,937,39807,Utilities
2026-01-20,Amazon Purchase,Debit,3212,36595,Shopping
2026-01-21,Swiggy Order,Debit,3040,33555,Food
2026-01-22,Stock Investment,Debit,2266,31289,Investment
2026-01-23,Freelance Payment,Credit,24411,55700,Income
2026-01-24,Uber Ride,Debit,4492,51208,Transport
2026-01-25,Swiggy Order,Debit,3200,48008,Food
2026-01-26,Amazon Purchase,Debit,4622,43386,Shopping
2026-01-27,Restaurant Dinner,Debit,3062,40324,Food
2026-01-28,Interest Credit,Credit,6800,47124,Income
2026-01-29,Amazon Purchase,Debit,475,46649,Shopping
2026-01-30,Gift Received,Credit,7967,54616,Income
2026-01-31,Restaurant Dinner,Debit,753,53863,Food
2026-02-01,Grocery Store,Debit,927,52936,Groceries
2026-02-02,Dividend Credit,Credit,9608,62544,Income
2026-02-03,Uber Ride,Debit,3088,59456,Transport
2026-02-04,Petrol Pump,Debit,3132,56324,Transport
2026-02-05,Stock Investment,Debit,1816,54508,Investment
2026-02-06,Gift Received,Credit,9248,63756,Income
2026-02-07,Gift Received,Credit,21734,85490,Income
2026-02-08,Amazon Purchase,Debit,1501,83989,Shopping
2026-02-09,Insurance Premium,Debit,2105,81884,Insurance
2026-02-10,Petrol Pump,Debit,3886,77998,Transport
2026-02-11,Dividend Credit,Credit,9345,87343,Income
2026-02-12,Hotel Booking,Debit,4662,82681,Travel
2026-02-13,Grocery Store,Debit,2756,79925,Groceries
2026-02-14,Freelance Payment,Credit,8005,87930,Income
2026-02-15,Freelance Payment,Credit,26879,114809,Income
2026-02-16,Mobile Recharge,Debit,3386,111423,Utilities
2026-02-17,UPI Transfer,Debit,642,110781,Transfer
2026-02-18,Netflix Subscription,Debit,4746,106035,Entertainment
2026-02-19,Mobile Recharge,Debit,1841,104194,Utilities
2026-02-20,Hotel Booking,Debit,4189,100005,Travel
2026-02-21,Dividend Credit,Credit,29489,129494,Income
2026-02-22,Hotel Booking,Debit,3858,125636,Travel
2026-02-23,Electricity Bill,Debit,2269,123367,Utilities
2026-02-24,Electricity Bill,Debit,2120,121247,Utilities
2026-02-25,Insurance Premium,Debit,4515,116732,Insurance
2026-02-26,UPI Transfer,Debit,4888,111844,Transfer
2026-02-27,ATM Withdrawal,Debit,4880,106964,Cash
2026-02-28,Dividend Credit,Credit,12361,119325,Income
2026-03-01,Grocery Store,Debit,1233,118092,Groceries
2026-03-02,Medical Store,Debit,4142,113950,Healthcare
2026-03-03,Amazon Purchase,Debit,485,113465,Shopping
2026-03-04,Swiggy Order,Debit,1352,112113,Food
2026-03-05,Hotel Booking,Debit,1410,110703,Travel
